polarity,sentence,lem_words,lem_type
1.0,"those rolls were big, but not good and sashimi wasn't fresh.",roll be big not good sashimi be not fresh,NN VB JJ RB JJ NN VB RB JJ
1.0,Service is average.,service be average,NN VB JJ
1.0,"Food was very good, but not what I would consider out of this world.",food be very good not consider world,NN VB RB JJ RB VB NN
1.0,The service was friendly and the atmosphere was casual.,service be friendly atmosphere be casual,NN VB JJ NN VB JJ
1.0,"So close, but not good enough.",so close not good enough,RB JJ RB JJ JJ
1.0,I have never before eaten 40 pieces of relatively good nigiri.,have never before eat piece relatively good nigiri,VB RB VB VB NN RB JJ NN
1.0,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",table be cram way too close menu be typical italian restaurant wine list be simply overpriced,NN VB VB NN RB RB NN VB JJ JJ NN NN NN VB RB JJ
1.0,"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",be not thrill have wait line minute guess be price pay popular place,VB RB VB VB VB NN NN NN VB NN VB JJ NN
1.0,Moderate prices.,moderate price,JJ NN
1.0,A little noise but I think that was because of our party!,little noise think be party,JJ NN VB VB NN
1.0,The scallion pancakes and fried dumplings were nothing out of the ordinary.,scallion pancake fry dumpling be nothing ordinary,NN NN VB NN VB NN JJ
1.0,"However, go for the ambience, and consider the food just a companion for a trip across the world!",however go ambience consider food just companion trip world,RB VB NN VB NN RB NN NN NN
1.0,Everything we had was good or ok....but definitely nothing great.,everything have be good definitely nothing great,NN VB VB JJ RB NN JJ
1.0,"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",many other reviewer notice order be often slow arrive be particularly true evening be not problem lunch time,JJ JJ NN VB NN VB RB JJ VB VB RB JJ NN VB RB NN NN NN
1.0,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",rude service medicore food be ton restaurant ny stay away one,JJ NN JJ NN VB NN NN NN VB RB NN
1.0,"Food was very good, but not what I would consider out of this world.",food be very good not consider world,NN VB RB JJ RB VB NN
1.0,"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",be not thrill have wait line minute guess be price pay popular place,VB RB VB VB VB NN NN NN VB NN VB JJ NN
1.0,The service was friendly and the atmosphere was casual.,service be friendly atmosphere be casual,NN VB JJ NN VB JJ
1.0,Service is average.,service be average,NN VB JJ
1.0,The restaurant is cute but not upscale.,restaurant be cute not upscale,NN VB JJ RB NN
1.0,"Of course, it is crowded but who cares.",course be crowd care,NN VB VB VB
1.0,sometimes i get good food and ok service.,sometimes get good food service,RB VB JJ NN NN
1.0,"Of course, it is crowded but who cares.",course be crowd care,NN VB VB VB
1.0,The scallion pancakes and fried dumplings were nothing out of the ordinary.,scallion pancake fry dumpling be nothing ordinary,NN NN VB NN VB NN JJ
1.0,"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",many other reviewer notice order be often slow arrive be particularly true evening be not problem lunch time,JJ JJ NN VB NN VB RB JJ VB VB RB JJ NN VB RB NN NN NN
1.0,sometimes i get good food and ok service.,sometimes get good food service,RB VB JJ NN NN
1.0,"those rolls were big, but not good and sashimi wasn't fresh.",roll be big not good sashimi be not fresh,NN VB JJ RB JJ NN VB RB JJ
1.0,the food is decent.,food be decent,NN VB JJ
1.0,"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",many other reviewer notice order be often slow arrive be particularly true evening be not problem lunch time,JJ JJ NN VB NN VB RB JJ VB VB RB JJ NN VB RB NN NN NN
1.0,"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",many other reviewer notice order be often slow arrive be particularly true evening be not problem lunch time,JJ JJ NN VB NN VB RB JJ VB VB RB JJ NN VB RB NN NN NN
1.0,The food is okay and the prices here are mediocre.,food be okay price here be mediocre,NN VB JJ NN RB VB JJ
1.0,"The service is ok, some of the people didn't get what they asked for.",service be person do not get ask,NN VB NN VB RB VB VB
1.0,The location and ambience is Ok but the food is what makes up for it.,location ambience be food be make,NN NN VB NN VB VB
1.0,"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.",portion be huge be good order thing split rather appetizer entree person person,NN VB JJ VB JJ NN NN VB RB NN NN NN NN
1.0,the food is decent.,food be decent,NN VB JJ
1.0,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",however want great food great price do not mind decor beat place,RB VB JJ NN JJ NN VB RB VB NN VB NN
1.0,"those rolls were big, but not good and sashimi wasn't fresh.",roll be big not good sashimi be not fresh,NN VB JJ RB JJ NN VB RB JJ
1.0,The food is okay and the prices here are mediocre.,food be okay price here be mediocre,NN VB JJ NN RB VB JJ
